Name,Position,Age,OVR,Height,Weight,Pref_Foot,Squad_Role,Contract_Length,Wage,Market_Value,Status,Pace,Shooting,Passing,Dribbling,Defending,Physical,Acceleration,Agility,Balance,Jumping,Sprint_Speed,Stamina,Strength,Aggression,Att_Position,Composure,Interceptions,Reactions,Vision,Ball_Control,Crossing,Curve,Def_Aware,Dribbling_Tech,FK_Acc,Finishing,Heading_Acc,Long_Pass,Long_Shots,Penalties,Short_Pass,Shot_Power,Slide_Tackle,Stand_Tackle,Volleys,Skill_Moves,Weak_Foot,PlayStyles,Roles,Development_Plan,Notes,Potential
Arthur Okonkwo,GK,24,73,"6'5""",185lbs,Right,Important,2y,29500,3800000,At The Club Since 2024,43,70,72,76,71,74,43,43,30,62,43,28,60,26,5,45,14,67,42,,,,,,,,,,,,,,,,,1,4,Far Throw/Cross Claimer,2,Ball-Playing Keeper,"GK: Div 74/Han 71/Kic 70/Ref 76/Spd 43/Pos 72. Dev Ball-Playing Keeper 73→74 ETA 2w. Willing to negotiate new terms. Injured: Tricep Muscle, out ~6 weeks (date unconfirmed — flagged for user).",
Liberato Cacace,LB,25,74,"6'0""",178lbs,Left,Important,2y1m,29500,5500000,At The Club Since 2025,77,61,72,75,70,73,75,70,72,77,79,76,72,70,72,76,71,70,74,75,67,65,69,76,59,59,65,68,64,55,77,65,70,71,51,5,5,None,5,Wide Half,Willing to negotiate new terms. Dev Wide Half 74→75 ETA 32w. LB Falseback+/Attacking WB/Inverted WB/Fullback/Wingback | LM Winger+/Wide Playmaker/Wide Midfielder/Inside Forward | CAM Half-Winger+/Shadow Striker/Classic 10,
George Thomason,LB,25,71,"5'10""",152lbs,Left,Important,3y,21000,2700000,At The Club Since 2025,65,61,68,68,67,71,73,73,72,65,61,86,60,81,65,68,70,68,68,69,70,62,65,67,64,61,60,69,60,54,69,63,65,71,54,2,3,Relentless,4,Dynamic,Happy with current terms. Contract flagged low on Play Time/Contract sentiment (thumbs-down). Dev Dynamic 69→70 ETA 31w. LB Falseback/Attacking WB+/Inverted WB/Fullback/Wingback+ | CM Half-Winger+/Holding/DLP/B2B/Playmaker | LM Winger+/Wide Playmaker/Wide Midfielder,
Dominic Hyam,CB,30,72,"6'2""",174lbs,Right,Important,2y,32000,2300000,At Club Since 2025,52,32,54,58,72,77,50,56,51,77,53,74,80,72,31,66,71,69,48,62,41,45,73,54,26,23,73,64,28,31,65,54,71,71,35,2,5,Long Ball Pass/Block/Aerial Fortress,2,Dynamic,"Captain. Open for new contract talks (Clause $3,600,000). CB Defender++/Stopper+/Wide Back/Ball-Playing Defender",
Max Cleworth,CB,23,71,"6'3""",191lbs,Right,Important,3y,21000,3000000,At Club Since 2020,70,29,57,64,71,76,66,63,57,78,67,73,78,67,32,68,68,67,61,63,37,48,72,63,23,28,70,65,24,30,69,38,71,69,24,2,5,Precision Header/Long Ball Pass/Jockey/Anticipate/Aerial Fortress/Long Throw,2,Wide Back 71→72 ETA 16w,Willing to negotiate new terms.,
Callum Doyle,CB/LB,22,75,"6'3""",187lbs,Left,Important,3y,25000,9000000,At The Club Since 2025,64,44,69,69,75,79,68,63,58,80,60,76,82,74,62,73,76,72,65,70,64,60,77,70,42,32,71,72,50,44,78,62,76,74,47,3,5,Long Ball Pass/Intercept/Anticipate,3,Wide Back 75→76 ETA 17w,"Happy with current terms. Good form, Match Fit.",
Aaron James,CB/RB,20,56,"6'0""",174lbs,Right,Prospect,1m,4100,350000,Open for new contract talks,68,27,38,46,56,64,66,63,67,66,70,65,69,51,32,48,53,50,40,44,31,33,56,41,24,25,55,37,22,38,43,34,58,56,25,2,4,None,1,Defender 56→57 ETA 22w,Submitted a transfer request. Contract Length demands not met — contract down to 1 month. Prospect role. Club has decided NOT to renew his contract when it expires — will leave as a free agent.,
Joenathan Amelia,RB,21,70,"5'10""",158lbs,Right,Rotation,4y,12500,3600000,At The Club Since 2025,76,50,63,65,67,64,75,73,67,71,76,72,61,61,51,63,69,63,56,67,66,57,65,63,41,45,66,69,49,46,66,62,62,70,45,5,2,,3,Wingback 70→71 ETA 33w,"Happy with current terms. Good form, Match Fit.",
Ben Sheaf,CDM/CM,28,74,"6'1""",163lbs,Right,Crucial,3y,37500,3700000,At Club Since 2025,55,57,71,71,72,74,54,67,68,70,56,70,75,75,63,75,72,68,70,71,65,64,72,71,62,50,65,73,61,60,75,59,72,74,58,2,3,Inventive/Anticipate/Press Proven,3,Dynamic,Not willing to negotiate. Dev Dynamic 73→74 ETA 13w. CDM/CM roles,
Harry Ashfield,CM/RM/CDM,19,58,"6'0""",160lbs,Right,Prospect,2y,5300,400000,At The Club Since 2025 (returned from Cheltenham Town loan),62,54,56,57,52,56,63,60,63,51,62,69,54,46,54,48,52,57,57,57,48,50,50,57,41,55,48,61,55,41,61,55,49,56,41,2,3,None,1,N/A,"Back from Cheltenham Town loan (2026-07-23), 0 apps recorded during the spell. Only under-20 central midfielder at the club. CM Half-Winger/Holding/DLP/B2B/Playmaker | RM Winger/Wide Playmaker/Wide Midfielder | CDM Box Crasher/Wide Half/Centre-Half/Holding",
Elliot Lee,CM/ST/CAM,31,67,"5'11""",158lbs,Right,Rotation,2y,21000,975000,On Loan at Doncaster (back 30 Jun 2026),67,66,65,68,61,68,67,73,73,67,67,82,63,62,67,68,61,66,66,68,58,64,59,67,65,66,59,65,66,60,68,68,57,64,63,3,3,None,3,N/A,On loan at Doncaster (back 30 Jun 2026). Happy with current terms. CM Half-Winger+/Holding/DLP/B2B/Playmaker | ST Target Forward/False 9+/Poacher/Advanced Forward | CAM Half-Winger/Shadow Striker+/Classic 10,
Andy Cannon,CM/CAM/CDM,29,64,"5'9""",163lbs,Right,Sporadic,1y1m,13500,650000,On Loan at Burton Albion (back 30 Jun 2026),70,57,62,66,61,66,75,83,79,67,65,71,61,71,64,64,61,65,63,65,58,59,65,62,50,58,54,60,54,49,66,58,64,61,52,3,3,None,3,N/A,Not willing to negotiate. CM Half-Winger/Holding/DLP/B2B+/Playmaker | CAM Half-Winger/Shadow Striker/Classic 10/Playmaker+ | CDM Box Crasher/Wide Half/Centre-Half/Holding+,
Lewis O'Brien,CM/CDM/RM/CAM,27,73,"5'8""",163lbs,Left,Important,2y1m,36000,3800000,At The Club Since 2025,66,63,67,75,69,71,72,79,85,66,61,90,60,78,68,72,69,73,72,74,56,42,67,75,47,62,53,68,65,42,73,67,73,73,52,3,2,Tiki Taka/Technical,3,Dynamic,Not willing to negotiate. Dev Dynamic 72→73 ETA 12w. CM Half-Winger/Holding/DLP/B2B/Playmaker+ | CDM Box Crasher/Wide Half/Centre-Half+/Holding/DLP | RM Winger+/Wide Playmaker/Wide Midfielder,
Paul Mullin,ST,31,65,"5'10""",156lbs,Right,Sporadic,2y,16000,725000,On Loan at Bradford City (back 30 Jun 2026),69,67,56,63,39,65,67,67,71,71,70,65,68,58,67,65,34,65,57,62,55,61,42,61,59,66,64,47,66,65,58,70,27,35,68,4,4,Finesse Shot/Chip Shot,1,N/A,"On loan at Bradford City, back 30 Jun 2026. Energy/Sharpness/Morale unknown (away).",
Kieffer Moore,ST,33,71,"6'5""",196lbs,Right,Important,2y1m,40500,1600000,Happy with current terms,60,69,54,65,45,78,48,48,46,86,70,58,88,74,74,66,42,68,49,72,55,59,39,65,45,71,81,51,54,64,59,78,39,44,66,4,5,Precision Header/Aerial Fortress/Enforcer,2,Target Forward 71→70 ETA 7w,Not willing to negotiate. Full name Kieffer Moore (Wales).,
Bailey Cadamarteri,ST,20,67,"6'0""",167lbs,Right,Rotation,3y1m,11500,2100000,On Loan at Boca Juniors (back 15 Jul 2027),79,67,49,64,33,66,78,67,71,77,79,69,66,57,71,63,31,63,41,64,38,39,23,62,36,70,62,41,61,54,66,71,19,38,62,5,3,None,2,Advanced Forward 68→69 ETA 34w,On loan at Boca Juniors (back 15 Jul 2027). Not willing to negotiate. Play Time and Contract sentiment flagged negative. Confirmed no PlayStyles tab.,
Mo Faal,ST,23,64,"6'3""",196lbs,Right,Sporadic,2y,10000,1100000,On Loan at Cheltenham Town (back 30 Jun 2026),73,62,46,63,26,68,71,62,48,78,74,64,75,53,62,57,17,62,51,65,34,41,23,64,40,61,65,40,62,57,54,65,21,22,64,2,3,Chip Shot,2,N/A,"On loan at Cheltenham Town, back 30 Jun 2026.",
Yacel Amrizi,ST/LW,21,74,"6'2""",167lbs,Right,Important,4y1m,26500,7500000,Happy with current terms,68,76,56,69,28,64,67,59,48,78,68,70,66,47,77,68,27,68,54,72,41,68,21,72,52,79,78,44,72,63,69,77,18,23,73,5,3,,2,Winger 74→75 ETA 63w,Willing to negotiate new terms. Play Time and Contract sentiment flagged negative despite good form.,
Andrés Gómez,RM/RW,23,75,"5'7""",134lbs,Right,Crucial,4y1m,33500,14500000,At The Club Since 2026,78,70,69,77,34,59,79,80,75,64,78,68,59,45,74,67,37,75,71,76,70,66,34,79,56,74,49,60,70,59,72,64,25,29,64,5,5,Press Proven,3,Dynamic,"Willing to negotiate new terms. Signing bonus $300,000. Returned from broken toe injury (2026-06-04). Roles/PlayStyles partially confirmed — only Press Proven visible, other diamonds unknown.",
Brian Gutiérrez,CAM/CM/LM,22,73,"5'10""",141lbs,Right,Important,4y5m,30000,8000000,At The Club Since 2026,71,68,72,73,43,61,70,74,73,55,71,71,58,56,76,66,32,72,71,77,67,66,43,73,54,70,48,73,68,52,77,69,49,44,49,3,4,,4,Dynamic,"GK: n/a. Not willing to negotiate new terms. Signing bonus $270,000. Excellent Deal price rating. Debut vs Sheffield Wed 2026-01-31. Stats confirmed: PAC 71/SHO 68/PAS 72/DRI 73/DEF 42/PHY 61.",
Damián Bobadilla,CM/CDM,24,74,"5'11""",167lbs,Right,Crucial,3y4m,33500,7000000,At The Club Since 2026,76,71,68,71,68,73,76,77,61,75,76,79,74,63,71,61,73,68,72,75,48,65,63,69,56,71,57,79,79,56,75,72,69,72,59,3,4,Long Ball Pass/Relentless,3,Dynamic,"GK: n/a. Willing to negotiate new terms. Signing bonus $290,000. Nationality: Paraguay. Free agent signing. Scored debut goal vs Millwall (65', 7.2 rating) 2026-02-07.",
Mason Webber,GK,17,63,"6'2""",167lbs,Right,Prospect,3y 3m,$1.77K,1100000,At The Club Since 2026,39,53,64,72,62,56,37,44,41,54,41,26,51,30,9,29,18,60,36,,,,,,,,,,,,,,,,,1,5,None,3,Goalkeeper,GK: Div 56/Han 62/Kic 53/Ref 72/Spd 39/Pos 64. Dev Goalkeeper 63→64 ETA 26w. Willing to negotiate new terms. Promoted from Youth Academy 2026-03-21 as backup GK after Okonkwo injury.,75-81
Santiago Ortega,CAM/LW,18,63,"5'10""",154lbs,Left,Prospect,3y,7800,1300000,On Loan at Birmingham City (back 17 Jul 2027),79,54,58,68,35,56,76,72,76,52,81,67,56,45,59,59,32,61,60,71,56,55,33,66,42,52,46,54,55,54,63,55,35,35,53,4,4,Acrobatic,3,Wide Playmaker,"On loan at Birmingham City (back 17 Jul 2027). Not willing to negotiate new terms. Roles: Half-Winger, Shadow Striker, Classic 10+ (CAM); Playmaker (CM); Winger+, Wide Playmaker+, Inside Forward (LW). Dev plan ETA 3 weeks (63->64).",
Milán Vitális,CM/CDM,24,71,"5'10""",160lbs,Right,Important,3y,22500,3300000,At The Club Since 2026,74,66,71,71,61,72,76,72,80,73,73,81,70,67,68,54,60,70,69,69,68,68,57,72,65,68,57,73,67,56,73,63,62,68,61,2,3,,1,Dynamic,"Willing to negotiate new terms. PlayStyles tab not screenshotted — none confirmed yet. Real-world player: Hungarian CM, DAC Dunajska Streda (Slovakia), b. 2002 Nyiregyhaza, ex-Gyori ETO academy.",
Vladyslav Veleten,RW/RM,23,71,"5'8""",174lbs,Right,Important,4y1m,27500,4400000,Contract accepted,85,65,66,72,32,66,82,69,82,65,87,73,63,63,69,61,38,61,72,76,69,70,36,72,45,66,43,62,60,53,66,71,24,23,54,3,3,,1,Dynamic 71→72 ETA 5w,"Not willing to negotiate. Signing bonus $20,000.",
